RPM,RPMS Power (RL=1),RPMS Power (RL=2),RPMS Power (RL=10),RPMS Power (RL=15),RPMS Power (RL=22),RPMS Power (RL=33),RPMS Power (RL=47),RPMS Power (RL=68)
9.066066066066066753e+01,4.759281960343313411e-01,5.354668187105355859e-01,2.975117927694546638e-01,2.223631721676685713e-01,1.636330447667760091e-01,1.154115824621744918e-01,8.386438377375682318e-02,5.945451814774536936e-02
9.145145145145146159e+01,4.842652826912799968e-01,5.448477234873561059e-01,3.027244749615023989e-01,2.262592061798590348e-01,1.665000750724418555e-01,1.174337233531698305e-01,8.533378331146472540e-02,6.049622944501533567e-02
9.224224224224224145e+01,4.926747139682672305e-01,5.543100601587328535e-01,3.079824251701690496e-01,2.301890750433323585e-01,1.693920042352847211e-01,1.194734257409410944e-01,8.681594404326016534e-02,6.154698763580693927e-02
9.303303303303303551e+01,5.011564883059942410e-01,5.638538277374719465e-01,3.132856433344849423e-01,2.341527787353827328e-01,1.723088322469212286e-01,1.215306896227080630e-01,8.831086596811237033e-02,6.260679271976224425e-02
9.382382382382382957e+01,5.097106041317648328e-01,5.734790252278899603e-01,3.186341293929556562e-01,2.381503172331078944e-01,1.752505590988950035e-01,1.236055149956664101e-01,8.981854908498163037e-02,6.367564469651995629e-02
9.461461461461462363e+01,5.183370598594864154e-01,5.831856516258128176e-01,3.240278832835619127e-01,2.421816905134106246e-01,1.782171847826785338e-01,1.256979018569877593e-01,9.133899339281940921e-02,6.475354356571590142e-02
9.540540540540541770e+01,5.270358538896710021e-01,5.929737059185792303e-01,3.294669049437589647e-01,2.462468985529978061e-01,1.812087092896710605e-01,1.278078502038199615e-01,9.287219889056834432e-02,6.584048932698272072e-02
9.619619619619619755e+01,5.358069846094350996e-01,6.028431870850377017e-01,3.349511943104778178e-01,2.503459413283812829e-01,1.842251326112002707e-01,1.299353600332867897e-01,9.441816557716180280e-02,6.693648197994996052e-02
9.698698698698699161e+01,5.446504503925018170e-01,6.127940940955491911e-01,3.404807513201242308e-01,2.544788188158769726e-01,1.872664547385215206e-01,1.320804313424881749e-01,9.597689345152496387e-02,6.804152152424419731e-02
9.777777777777778567e+01,5.535662495992016430e-01,6.228264259119865587e-01,3.460555759085799377e-01,2.586455309916059209e-01,1.903326756628181404e-01,1.342430641285003445e-01,9.754838251257365311e-02,6.915560795948877404e-02
9.856856856856857974e+01,5.625543805764710026e-01,6.329401814877341215e-01,3.516756680112004818e-01,2.628460778314928303e-01,1.934237953752008521e-01,1.364232583883750183e-01,9.913263275921488371e-02,7.027874128530411935e-02
9.935935935935935959e+01,5.716148416578551439e-01,6.431353597676876532e-01,3.573410275628172705e-01,2.670804593112676706e-01,1.965398138667084627e-01,1.386210141191403789e-01,1.007296441903467871e-01,7.141092150130741445e-02
1.001501501501501536e+02,5.807476311635093591e-01,6.534119596882582703e-01,3.630516544977372417e-01,2.713486754064647344e-01,1.996807311283079200e-01,1.408363313178007392e-01,1.023394168048588626e-01,7.255214860711284297e-02
1.009409409409409477e+02,5.899527474001963201e-01,6.637699801773666586e-01,3.688075487497416982e-01,2.756507260924221381e-01,2.028465471508933970e-01,1.430692099813362372e-01,1.039619506016313810e-01,7.370242260233150766e-02
1.017317317317317418e+02,5.992301886612914075e-01,6.742094201544495125e-01,3.746087102520874179e-01,2.799866113442838755e-01,2.060372619252872073e-01,1.453196501067029744e-01,1.055972455795359949e-01,7.486174348657136102e-02
1.025225225225225216e+02,6.085799532267802681e-01,6.847302785304548722e-01,3.804551389375067649e-01,2.843563311369972646e-01,2.092528754422394999e-01,1.475876516908335434e-01,1.072453017374352946e-01,7.603011125943739956e-02
1.033133133133133157e+02,6.180020393632615905e-01,6.953325542078464538e-01,3.863468347382063017e-01,2.887598854453146680e-01,2.124933876924282594e-01,1.498732147306363338e-01,1.089061190741832524e-01,7.720752592053141405e-02
1.041041041041041098e+02,6.274964453239448847e-01,7.060162460805999851e-01,3.922837975858681769e-01,2.931972742437926605e-01,2.157587986664590562e-01,1.521763392229956435e-01,1.105796975886246258e-01,7.839398746945216989e-02
1.048948948948949038e+02,6.370631693486574765e-01,7.167813530342082018e-01,3.982660274116509025e-01,2.976684975067934169e-01,2.190491083548656848e-01,1.544970251647723170e-01,1.122660372795956651e-01,7.958949590579539324e-02
1.056856856856856979e+02,6.467022096638360695e-01,7.276278739456741862e-01,4.042935241461856344e-01,3.021735552084815479e-01,2.223643167481091365e-01,1.568352725528025515e-01,1.139651381459234059e-01,8.079405122915353510e-02
1.064764764764764777e+02,6.564135644825359606e-01,7.385558076835191388e-01,4.103662877195806691e-01,3.067124473228279302e-01,2.257044238365786271e-01,1.591910813838992023e-01,1.156770001864261127e-01,8.200765343911617378e-02
1.072672672672672718e+02,6.661972320044293738e-01,7.495651531077807128e-01,4.164843180614189455e-01,3.112851738236076526e-01,2.290694296105917904e-01,1.615644516548511711e-01,1.174016233999135295e-01,8.323030253526984834e-02
