RPM,Electrical Power
4.140940940940941459e+02,1.114571799821272080e+01
4.148848848848849116e+02,1.118822658617504295e+01
4.156756756756756772e+02,1.123081549939853829e+01
4.164664664664664997e+02,1.127348473347023905e+01
4.172572572572572653e+02,1.131623428396898134e+01
4.180480480480480878e+02,1.135906414646541407e+01
4.188388388388388535e+02,1.140197431652196336e+01
4.196296296296296759e+02,1.144496478969287345e+01
4.204204204204204416e+02,1.148803556152420136e+01
4.212112112112112641e+02,1.153118662755377066e+01
4.220020020020020297e+02,1.157441798331125327e+01
4.227927927927927954e+02,1.161772962431810896e+01
4.235835835835836178e+02,1.166112154608760143e+01
4.243743743743743835e+02,1.170459374412480358e+01
4.251651651651652060e+02,1.174814621392661529e+01
4.259559559559559716e+02,1.179177895098172435e+01
4.267467467467467941e+02,1.183549195077064375e+01
4.275375375375375597e+02,1.187928520876569216e+01
4.283283283283283822e+02,1.192315872043102765e+01
4.291191191191191479e+02,1.196711248122258731e+01
4.299099099099099135e+02,1.201114648658813699e+01
4.307007007007007360e+02,1.205526073196728909e+01
4.314914914914915016e+02,1.209945521279143144e+01
4.322822822822823241e+02,1.214372992448381083e+01
4.330730730730730897e+02,1.218808486245946732e+01
4.338638638638639122e+02,1.223252002212527678e+01
4.346546546546546779e+02,1.227703539887994033e+01
4.354454454454455004e+02,1.232163098811399315e+01
4.362362362362362660e+02,1.236630678520975835e+01
4.370270270270270316e+02,1.241106278554143749e+01
4.378178178178178541e+02,1.245589898447503252e+01
4.386086086086086198e+02,1.250081537736837589e+01
4.393993993993994422e+02,1.254581195957114836e+01
4.401901901901902079e+02,1.259088872642483992e+01
4.409809809809810304e+02,1.263604567326277994e+01
4.417717717717717960e+02,1.268128279541013903e+01
4.425625625625626185e+02,1.272660008818393607e+01
4.433533533533533841e+02,1.277199754689300804e+01
4.441441441441441498e+02,1.281747516683802601e+01
4.449349349349349723e+02,1.286303294331152358e+01
4.457257257257257379e+02,1.290867087159784887e+01
4.465165165165165604e+02,1.295438894697323207e+01
4.473073073073073260e+02,1.300018716470569657e+01
4.480980980980981485e+02,1.304606552005514430e+01
4.488888888888889142e+02,1.309202400827330059e+01
4.496796796796797366e+02,1.313806262460376395e+01
4.504704704704705023e+02,1.318418136428197052e+01
4.512612612612612679e+02,1.323038022253518342e+01
4.520520520520520904e+02,1.327665919458255317e+01
4.528428428428428560e+02,1.332301827563506080e+01
4.536336336336336785e+02,1.336945746089553921e+01
4.544244244244244442e+02,1.341597674555869446e+01
4.552152152152152667e+02,1.346257612481106136e+01
4.560060060060060323e+02,1.350925559383104080e+01
4.567967967967967979e+02,1.355601514778891037e+01
4.575875875875876204e+02,1.360285478184679597e+01
4.583783783783783861e+02,1.364977449115867181e+01
4.591691691691692085e+02,1.369677427087037991e+01
4.599599599599599742e+02,1.374385411611962127e+01
4.607507507507507967e+02,1.379101402203598958e+01
4.615415415415415623e+02,1.383825398374091620e+01
4.623323323323323848e+02,1.388557399634770562e+01
4.631231231231231504e+02,1.393297405496152486e+01
4.639139139139139161e+02,1.398045415467942476e+01
4.647047047047047386e+02,1.402801429059031868e+01
4.654954954954955042e+02,1.407565445777497182e+01
4.662862862862863267e+02,1.412337465130607761e+01
4.670770770770770923e+02,1.417117486624815115e+01
4.678678678678679148e+02,1.421905509765760023e+01
4.686586586586586805e+02,1.426701534058270404e+01
